"NCRS.code","photo","duration","n.fixer","pft","no.sampled"
"ACAN11","c3","perennial","yes","c3_legume",3
"AMAR2","c3","annual","no","c3_nonlegume",25
"AMPS","c3","perennial","no","c3_nonlegume",32
"ARAL3","c3","annual","no","c3_nonlegume",3
"ARPU9","c4","perennial","no","c4_nonlegume",2
"ASAS","c3","perennial","no","c3_nonlegume",3
"ASLA4","c3","perennial","no","c3_nonlegume",3
"ASSY","c3","perennial","no","c3_nonlegume",18
"BASA","c3","perennial","no","c3_nonlegume",3
"BOIS","c4","perennial","no","c4_nonlegume",6
"BOSA","c4","perennial","no","c4_nonlegume",6
"CAAM2","c3","perennial","no","c3_nonlegume",3
"CAPL3","c4","perennial","no","c4_nonlegume",3
"CAREX","c4","perennial","no","c4_nonlegume",16
"CHFE3","c3","perrenial","no","c3_nonlegume",2
"CHPI8","c3","annual","no","c3_nonlegume",3
"COCO13","c3","perennial","no","c3_nonlegume",3
"COER","c3","perennial","no","c3_nonlegume",3
"CRGLL","c3","annual","no","c3_nonlegume",22
"CYDA","c4","perennial","no","c4_nonlegume",15
"DATE3","c3","perennial","no","c3_nonlegume",3
"DIAN","c4","perennial","no","c4_nonlegume",8
"ENPE4","c3","perennial","no","c3_nonlegume",6
"EUMA8","c3","annual","no","c3_nonlegume",6
"GAPU","c3","annual","no","c3_nonlegume",16
"GLGO","c3","perennial","no","c3_nonlegume",2
"HEAN3","c3","annual","no","c3_nonlegume",6
"HECA8","c3","perennial","no","c3_nonlegume",2
"HETE3","c3","annual","no","c3_nonlegume",3
"IVAX","c3","perennial","no","c3_nonlegume",4
"LIAT","c3","perennial","no","c3_nonlegume",3
"LIPU","c3","perennial","no","c3_nonlegume",3
"LOPE","c3","perennial","no","c3_nonlegume",9
"MIQU2","c3","perennial","yes","c3_legume",15
"NALE3","c3","perennial","no","c3_nonlegume",19
"OECU2","c3","annual","no","c3_nonlegume",3
"OENOT","c3","annual","no","c3_nonlegume",1
"PAVI2","c4","perennial","no","c4_nonlegume",12
"PRGL2","c3","perennial","yes","c3_legume",33
"QUHA3","c3","perennial","no","c3_nonlegume",3
"QUMO","c3","perennial","no","c3_nonlegume",1
"RACO3","c3","perennial","no","c3_nonlegume",40
"RHAM","c3","perennial","yes","c3_legume",1
"RHSET","c3","perennial","yes","c3_legume",1
"RUHI2","c3","perennial","no","c3_nonlegume",3
"RUNU","c3","perennial","no","c3_nonlegume",15
"RUTR","c3","perennial",NA,"c3_nonlegume",3
"SAFA2","c3","perennial","no","c3_nonlegume",7
"SCHIZ4","c4","perennial","no","c4_nonlegume",8
"SCSC","c4","perennial","no","c4_nonlegume",3
"SODI","c3","perennial","no","c3_nonlegume",1
"SOEL","c3","perennial","no","c3_nonlegume",53
"SOHA","c4","perennial","no","c4_nonlegume",38
"STTE3","c3","perennial","no","c3_nonlegume",3
"VEOC","c3","perennial","no","c3_nonlegume",3
"VEST","c3","perennial","no","c3_nonlegume",3
"WEAC","c3","perennial","no","c3_nonlegume",6
