"day","aicc.wn","rmse.wn","photo","aicc.vpd","rmse.vpd"
1,-969.93,0.0436,"c3",-954.38,0.0446
2,-968.48,0.0437,"c3",-954.3,0.0445
3,-967.75,0.0437,"c3",-950.18,0.0448
4,-968.24,0.0437,"c3",-954.23,0.0445
5,-968.7,0.0436,"c3",-955.03,0.0444
6,-968.1,0.0437,"c3",-954.87,0.0445
7,-967.61,0.0437,"c3",-954.32,0.0445
8,-967.6,0.0437,"c3",-954.1,0.0445
9,-967.9,0.0437,"c3",-953.06,0.0446
10,-968.42,0.0437,"c3",-950.69,0.0447
15,-966.58,0.0438,"c3",-955.4,0.0444
20,-964.3,0.044,"c3",-959.87,0.0441
30,-964.73,0.044,"c3",-972,0.0433
60,-974.08,0.0435,"c3",-970.22,0.0435
90,-977.7,0.0434,"c3",-1010.68,0.0409
1,-85.78,0.1278,"c4",-94.19,0.1217
2,-85.88,0.1277,"c4",-95.14,0.1214
3,-85.78,0.1277,"c4",-95.02,0.1214
4,-85.8,0.1278,"c4",-95.16,0.1211
5,-85.95,0.1277,"c4",-96.85,0.1198
6,-85.95,0.1277,"c4",-96.03,0.1201
7,-85.82,0.1277,"c4",-97.08,0.1192
8,-85.88,0.1278,"c4",-97.05,0.119
9,-85.81,0.1279,"c4",-97.28,0.1187
10,-85.71,0.128,"c4",-96.65,0.1191
15,-85.01,0.1287,"c4",-98.22,0.1189
20,-84.86,0.1292,"c4",-97.95,0.1195
30,-84.6,0.1297,"c4",-95.43,0.1216
60,-83.54,0.1312,"c4",-102.01,0.1186
90,-86.69,0.1294,"c4",-83.81,0.131
