resp,pred,r2_marg_c3,r2_cond_c3,std_est_c3,p_val_c3,r2_marg_c4,r2_cond_c4,std_est_c4,p_val_c4
narea,marea,0.87,0.88,0.963,<0.001,0.82,0.92,0.952,<0.001
narea,nmass,0.87,0.88,0.897,<0.001,0.82,0.92,0.869,<0.001
nmass,marea,0.28,0.56,-0.372,<0.001,0.38,0.56,-0.564,<0.001
nmass,soil.no3n,0.28,0.56,0.275,<0.001,0.38,0.56,0.287,0.005
nmass,chi,0.28,0.56,-0.179,0.003,0.38,0.56,0.058,0.58
nmass,wn90_perc,0.28,0.56,0.113,0.035,0.38,0.56,0.078,0.485
marea,soil.no3n,0.14,0.57,-0.277,<0.001,0.03,0.6,-0.182,0.09
marea,chi,0.14,0.57,-0.22,<0.001,0.03,0.6,-0.103,0.343
marea,wn90_perc,0.14,0.57,0.075,0.137,0.03,0.6,0.041,0.723
chi,vpd90,0.14,0.62,-0.402,<0.001,NA,NA,NA,NA
chi,soil.no3n,0.14,0.62,-0.018,0.706,0.21,0.53,0.005,0.965
chi,wn90_perc,0.14,0.62,-0.011,0.887,0.21,0.53,-0.052,0.719
chi,vpd60,NA,NA,NA,NA,0.21,0.53,0.404,0.003
~~narea,~~soil.no3n,NA,NA,-0.186,<0.001,NA,NA,NA,NA
~~narea,~~vpd60,NA,NA,NA,NA,NA,NA,0.148,0.056
~~nmass,~~vpd60,NA,NA,NA,NA,NA,NA,-0.15,0.054
~~chi,~~narea,NA,NA,-0.146,0.004,NA,NA,NA,NA
